circuit_family,logical_qubits,topology,optimization_level,n_seeds,min,max,median,spread,relative_spread,iqr,normalized_spread,zero_spread,stratum
ghz_star,12,cairo_heavy_hex_27,0,5,3.727272727272727,5.363636363636363,4.2727272727272725,1.6363636363636362,1.4390243902439024,0.7272727272727275,0.3829787234042553,False,L0
ghz_star,16,cairo_heavy_hex_27,0,5,3.6,5.333333333333333,4.133333333333334,1.733333333333333,1.4814814814814814,0.666666666666667,0.41935483870967727,False,L0
ghz_star,20,cairo_heavy_hex_27,0,5,4.105263157894737,5.157894736842105,4.421052631578948,1.0526315789473681,1.2564102564102564,0.36842105263157876,0.238095238095238,False,L0
ghz_star,24,cairo_heavy_hex_27,0,5,4.391304347826087,5.3478260869565215,4.869565217391305,0.9565217391304346,1.2178217821782178,0.47826086956521685,0.19642857142857137,False,L0
qft,4,cairo_heavy_hex_27,0,5,2.1,2.7,2.2,0.6000000000000001,1.2857142857142858,0.10000000000000009,0.27272727272727276,False,L0
qft,8,cairo_heavy_hex_27,0,5,3.615384615384616,4.0,3.8846153846153846,0.38461538461538414,1.106382978723404,0.15384615384615374,0.09900990099009889,False,L0
qft,12,cairo_heavy_hex_27,0,5,4.333333333333333,4.928571428571429,4.642857142857143,0.5952380952380958,1.1373626373626375,0.35714285714285765,0.1282051282051283,False,L0
qft,16,cairo_heavy_hex_27,0,5,5.206896551724138,6.241379310344827,5.465517241379311,1.0344827586206895,1.1986754966887416,0.12068965517241459,0.18927444794952675,False,L0
qft,20,cairo_heavy_hex_27,0,5,5.418918918918919,7.527027027027027,6.216216216216216,2.108108108108108,1.3890274314214464,0.3108108108108105,0.3391304347826087,False,L0
qft,24,cairo_heavy_hex_27,0,5,5.433333333333334,6.611111111111111,5.922222222222223,1.1777777777777771,1.2167689161554192,1.0444444444444443,0.1988742964352719,False,L0
efficient_su2,4,line_27,0,5,3.25,3.75,3.5,0.5,1.1538461538461537,0.25,0.14285714285714285,False,L0
efficient_su2,8,line_27,0,5,3.3125,4.375,4.3125,1.0625,1.320754716981132,0.3125,0.2463768115942029,False,L0
efficient_su2,12,line_27,0,5,4.25,4.5,4.291666666666667,0.25,1.0588235294117647,0.08333333333333304,0.058252427184466014,False,L0
efficient_su2,16,line_27,0,5,4.09375,4.59375,4.1875,0.5,1.1221374045801527,0.15625,0.11940298507462686,False,L0
